spa,quz
"lo que indicó es que la vida del ser humano “no resulta de las cosas que posee ”, o sea, de las que ya tiene.","aswanmi niran, runakunaq kawsayninqa “manan askha kaqniyoq ” kasqanmantachu kanqa nispa."
"todos sabemos que para vivir es decir, para nuestro sustento no se necesita mucho.",kawsananchispaqqa manan askhatachu necesitanchis.
"en realidad, basta con un poco de comida, algo de ropa y un lugar donde dormir.","as pisi mikhunata, p’achata, maypi samarikunallatawanmi necesitanchis."
los ricos tienen de todo mientras que los pobres tienen que trabajar duro para conseguir tan solo lo básico.,"qhapaqkunaqa imaymanayoqmi kanku, wakchakunan ichaqa anchata llank’ananku imachus necesitasqankuta tarinankupaq."
"sin embargo, esta diferencia desaparece cuando la vida llega a su fin: todo se queda en nada.",ichaqa wakchaña qhapaqña kanku chaypas wañupuqtinkuqa lliwmi tukukapun .
"así pues, una vida plena no puede ni debe reducirse sencillamente a lo que uno posee o puede adquirir.",chaymi mana qhapaq kaykunapichu allin kawsayta maskhana.
esta idea resulta obvia cuando comprendemos de qué tipo de vida estaba hablando jesús.,chaytan yachanchis jesús imayna kawsaymanta rimasqanpi.
¿qué aprendemos del significado de la palabra traducida por “vida ” en este pasaje bíblico?,¿imatan yachanchis ‘ kawsaymanta ’ jesuspa willasqanpi?
"¿a qué se refería jesús cuando dijo, según leímos en el evangelio de lucas, que la “vida no resulta de las cosas que uno posee ”?","lucas qelqapi willasqan hina, ¿imatan jesús nisharan, “runaq kawsayninqa manan askha kaqniyoq kaspallachu allin kanqa ” nispa nisqanwan?"
"la palabra griega que se traduce en este pasaje por “vida ” (zo·é) no alude a la manera de vivir, sino a la vida en sí misma, vida en el sentido absoluto.","chay textopi ‘ kawsay ’ simiqa zo·é nisqa griego rimaymantan t’ikrakun, chay simin tupan kawsaywan manan imayna kawsasqanchiswanchu."
" lo que jesús estaba diciendo es que, seamos ricos o pobres vivamos rodeados de lujos o nos ganemos el sustento a duras penas , no tenemos completo control de cuánto tiempo viviremos ni de si estaremos vivos mañana."," jesusqa kaytan nisharan, qhapaqña wakchaña kanchis chaypas manan yachanchischu hayk’a tiempo kawsananchista paqarin kawsasunraqchus manachus chaytapas."
"tal como dijo en su sermón del monte: “¿quién de ustedes, por medio de inquietarse, puede añadir un codo a la duración de su vida? ”.","orqo patapi yachachishaspapas kaytan niran: “¿mayqenniykichistaq atinman llakikushaspa, sayayninman otaq kawsayninman huk chhikallantawanpas yapaykukuyta? ”"
¿por qué muchas personas cifran su confianza en los bienes materiales?,¿imarayku askha runakuna qhapaq kaykunata maskhanku?
las palabras de jesús muestran lo fácil que es desarrollar un punto de vista distorsionado de la vida.,"runakunaqa manan allintachu kawsayta rikusunman, chaytan jesuspa nisqanpi reparanchis."
"todos los seres humanos ricos y pobres somos imperfectos, y todos acabamos igual.","llapa runakunan wakchapas qhapaqpas huchayoq kanchis, llapallanchistaqmi kaqpi tukukapunchis."
"por esa razón, las personas que no han cultivado una buena relación con dios suelen adoptar la mentalidad que mencionó el apóstol pablo, a saber, “comamos y bebamos, porque mañana hemos de morir ”.","chayrayku, apóstol pablo nisqan hina, diosta mana reqsiq runakunaqa khaynata yuyaykunku: “mikhusunchis, ukyasunchis, paqarinmi wañupusunchis ”, nispa."
"hay otros que, al observar que la vida es fugaz e incierta, buscan en los bienes materiales la sensación de seguridad y estabilidad que les falta.","wakin runakunataq imapaq kawsasqankuta mana yachaspa pisi tiempolla kawsasqankutawan reparaspa qhapaq kaykunata maskhanku thakpi, allinpi kawsanankupaq."
"tal vez piensen que pueden dar cierto grado de protección a su vida reuniendo muchas cosas materiales, tangibles.",chay qhapaq kaykunawan aswan allin kawsanankutapaschá yuyaykunku.
"por eso, trabajan sin descanso a fin de acumular riquezas, creyendo equivocadamente que así se sentirán seguros y felices.",chayraykun mana samaspa llank’anku qhapaq kaykunata huñunankupaq chaywan aswan kusisqa kawsanankuta yuyaykuspa .
un futuro seguro,aswan allinta kawsanapaq
¿qué cosas no son valiosas en la vida?,¿imakunan mana sinchi chaniyoqchu?
"es cierto que un nivel de vida alto con abundancia de alimento, ropa y abrigo, y todo tipo de lujos quizás haga nuestra existencia más cómoda.","yaqapaschá allinta kawsasunman askha mikhunayoq, p’achayoq, imaymanayoq kaspapas."
puede que incluso nos permita recibir mejor atención médica y vivir unos cuantos años más.,aswan allin medicokunawanpaschá hanpichikusunman aswan unayta kawsanapaq.
"ahora bien, ¿tiene más sentido esa vida?",ichaqa ¿aswan chaniyoqchu kanman chay kawsay?
lo valioso en la vida no son los años que uno vive ni la cantidad de cosas materiales que uno posee o utiliza.,manan aswan unayta kawsaspachu nitaq imaymanayoq kaspachu aswan allinta kawsasunchis.
el apóstol pablo señaló el peligro de confiar demasiado en esas cosas.,apóstol pablon anyaran chaykunaman ama k’askakunapaq.
", dieciocho. ¿qué sobresalientes ejemplos de equilibrio con respecto a las riquezas son dignos de imitar?",", chunka pusaqniyuq. ¿pikunan allin ejemplo karanku qhapaq kayman mana k’askakuypi?"
¿qué parábola de jesús se analizará en el siguiente artículo?,¿ima rikch’anachiymantan qatimuq estudiopi yachasun?
"cifrar nuestra esperanza en las riquezas no es una buena idea, ya que estas son “inseguras ”.","qhapaq kaykunaqa ‘ tukurqokuqllan ’, chaymi chaykunaman k’askakuyqa mana allinchu."
"el patriarca job, por ejemplo, era muy rico.",ñawpa tayta jobpas sinchi qhapaqmi karan.
"pero cuando las desgracias le sobrevinieron súbitamente, sus riquezas no le sirvieron de nada, pues lo perdió todo de la noche a la mañana.","ichaqa manan sasachakuyninkunamanta qespichiranchu, aswanmi chay qhapaq kaykunaqa ch’usaqman tukupuran."
"más bien, fue su fuerte relación con dios lo que lo sostuvo a través de todas sus pruebas y aflicciones.",aswanpas diosman k’askakusqanmi kallpacharan wateqaypi ñak’ariypi tarikushaqtin .
"abrahán, por su parte, no dejó que sus numerosos bienes le impidieran aceptar una difícil comisión de jehová.",abrahanpas qhapaqña karan chaypas kasukuranmi diospa kamachisqanta.
"y como recompensa, llegó a ser “padre de una muchedumbre de naciones ”.",chaymi ‘ askha runaq taytan ’ kananpaq saminchasqa karan .
ambos hombres como muchos otros son ejemplos dignos de imitar.,chay iskay runakuna hinan askha runakuna qatikunapaq hina kanku.
"así pues, seamos jóvenes o mayores, todos debemos examinarnos para ver a qué concedemos verdadera importancia en nuestra vida y en qué ciframos nuestra esperanza.","¿imatan ñawpaqta maskhashanchis, imamanmi k’askakushanchis?, chaytan wayna sipaskunapas kuraqkunapas qhawarikunanchis."
no cabe duda de que las breves palabras que jesús dijo sobre la codicia y sobre tener un punto de vista equilibrado de la vida son muy instructivas.,"munapayaymanta, kawsayta imayna qhawarinamantawan jesuspa rimasqanqa ancha allinpunin."
"sin embargo, jesús no se quedó ahí, sino que, a continuación, contó una interesante parábola sobre un hombre rico que era irrazonable.",ichaqa huk rikch’anachiytawanmi willaran mana yuyayniyoq qhapaq runamanta.
"¿qué tiene que ver esa ilustración con nosotros, y qué podemos aprender de ella?","¿imapin chay rikch’anachiy yanapawasunman, imatawanmi chaymanta yachasunman?"
veremos la respuesta a estas preguntas en el siguiente artículo.,qatimuq estudiopin chay tapuykuna kutichikunqa.
"él escribió: “por consiguiente, les suplico por las compasiones de dios, hermanos ”.","kayta qelqaran: “chay hinaqa, wawqe panaykuna, diospa khuyapayawasqanchisraykun valekuykichis ”, nispa."
"otro término griego que se traduce por “vida ” es bíos, del cual proceden palabras españolas como biografía y biología.","‘ kawsay ’ simiqa bí·os nisqa griego rimaymantan t’ikrakullantaq, chaymantan paqarimun españolpi biografía, biología nisqa simikunapas."
"según el diccionario expositivo de palabras del antiguo y del nuevo testamento exhaustivo, de w.","diccionario expositivo de palabras del antiguo y del nuevo testamento exhaustivo, de w."
"en los primeros once capítulos de su carta, pablo había hablado de que israel, en conjunto, había desaprovechado una maravillosa oportunidad que ahora se abría tanto a judíos como a gentiles: la oportunidad de gobernar con cristo en el reino de dios.","ñawpaq chunka hukniyoq capitulokunapin apóstol pablo willaranña diospa reinonpi kamachikuymanta, chay sumaq suyakuymi karan judío runakunapaq wak llaqtayoq runakunapaqwan."
"vine, el vocablo bíos alude al “período o duración de la vida ”, a“ la manera de vivir ” o a “los medios para la vida ”.","vine, nisqa qelqan bí·os simita tupachin “hayk’a tiempo kawsasqanchiswan ”,“ imayna kawsasqanchiswan ” otaq “imakunawan kawsasqanchispiwan ”."
¿qué respondería usted?,¿imaynata kutichiwaq?
 ¿qué nos enseña el hecho de que jesús se negara a atender la petición que le hizo cierto hombre?, ¿imatan yachanchis huk runaq mañakusqanman jesuspa mana kasusqanmanta?
" ¿por qué debemos guardarnos de la codicia, y cómo podemos hacerlo?"," ¿imaraykun munapayaymanta cuidakunanchis, imaynata cuidakusunman?"
 ¿por qué no depende la vida de los bienes materiales?, ¿imaraykun mana qhapaq kaykunallawanchu aswan allinta kawsasunman?
 ¿qué contribuye a que la vida sea verdaderamente valiosa y segura?, ¿imata ruwaspan aswan allinta kawsasunman?
¿somos ricos para con dios?,¿qhapaqchu kanchis diospaq?
"“así pasa con el hombre que atesora para sí, pero no es rico para con dios. ”","“chhaynan payllapaq qhapaq kayta waqaychaqqa, diospa qhawarinanpaqmi ichaqa wakcha. ”"
¿por qué cree que existe un creador?,¿imaraykun pay nin “diosqa kanmi ” nispa?
¡despertad!,¡rikch’ariy!
conversó con él sobre su trabajo científico y sobre su fe.,qelqaqkunan paywan rimarqanku llank’ayninmanta iñiyninmantapas
¿de dónde viene su interés por la ecología?,¿imaynapin astawan yachayta munarqanki animalkunapas plantakunawan huk hinalla kawsasqankumanta?
"mi padre, que era ingeniero mecánico, siempre me hablaba con entusiasmo de matemáticas y otras ciencias.","taytayqa imaymana maquinakunamanta yachaq ingenieron karqan, payqa rimapayawaqpunin matematicamanta cienciamantapas."
"vivíamos en la localidad estadounidense de new paris (ohi, rodeados de arroyos y estanques.","new paris, ohio (estados unido llaqtapin tiyarqayku, chaypa qayllanpiqa pasaqpin kashan huch’uy mayukuna p’onqokunapas."
de pequeño me fascinaban las plantas y los animales que veía en los alrededores de mi casa.,huch’uyniymantapachan kusikuq kani wasiypa qayllanpi animalkunata plantakunata rikuspay.
por eso decidí estudiar ecología en la universidad purdue.,chaymi purdue universidadpi estudiarqani ecología nisqata.
¿siempre le ha atraído la religión?,¿allinpaqpunichu diospi iñiyta qhawarirqanki?
así es.,arí.
en casa éramos luteranos y mi padre me animaba a estudiar a fondo nuestra religión.,"wasiypiqa llapaykun luterano religionmanta karqayku, hinan taytayqa kallpachawarqan religionniymanta allinta yachanaypaq."
"también estudié griego koiné (o comú, uno de los idiomas en los que se escribió la biblia.","común runakunaq rimasqan griego simitapas estudiarqanin (koiné), chay simipin bibliapi wakin qelqakunaqa qelqakurqan."
llegué a tenerle mucho respeto a este libro.,chhaynapin bibliata aswan chaninpaq qhawarirqani.
¿qué pensaba sobre la teoría de la evolución?,¿imaynatan qhawarirqanki “tukuy imapas kikillanmantan rikhurimurqan ” nisqa yachachikuyta?
"mi iglesia la aceptaba y mis colegas la defendían, así que nunca dudé de que fuera cierta.","religioniypas llank’aqmasiykunapas allinpaqmi chay yachachikuyta qhawarirqanku, chaymi ñoqapas chhaynata qhawarirqani."
"en cuanto a la biblia, yo la respetaba, pero no creía que fuera inspirada por dios.","ichaqa bibliata chaninpaqña hap’irqani chaypas, manan diospa qelqanta hinachu qhawarirqani."
¿qué le hizo cambiar su opinión de la biblia?,¿imaynapin bibliata diospa qelqanta hina qhawaripurqanki?
", dos. ¿con qué objetivo han estado dispuestas a hacer enormes sacrificios muchas personas?",", iskayniyuq. ¿imata munaspan askha runakuna hatun sacrificiokunata ruwanku?"
"¿qué dificultad tienen que afrontar los cristianos, y qué peligro conlleva?","¿ima sasachakuykunapin cristianokuna tarikunku, imamanmi chay tanqanman?"
"por ejemplo, la famosa fiebre del oro del siglo xix provocó una oleada de cazatesoros hacia australia, canadá, estados unidos y sudáfrica.","siglo xix nisqapin qori maskhay q’oñiriran, chaymi sinchi askha runakuna australia, canadá, estados unidos, sudáfrica nisqa suyukunata riranku qorita maskhanankupaq."
"en su afán por hacer fortuna, estuvieron dispuestos a dejar su hogar y sus seres queridos para irse a lugares distantes, desconocidos y a veces inhóspitos.","qhapaq kayta munaspan wasinkuta, munakusqanku runakunatapas saqespa karuta riranku mana reqsisqa cheqaskunata, mayninpiqa mana tiyanapaq hina cheqaskunata."
"ciertamente, hay muchas personas que, a fin de conseguir las riquezas que ambicionan, están dispuestas a correr grandes riesgos y hacer enormes sacrificios.","arí, qhapaq kaykunata munapayasqankuraykun askha runakuna hatun sacrificiokunata ruwanku."
"aunque hoy día la mayoría de la gente no se lanza a buscar tesoros, sí tiene que hacer grandes sacrificios para obtener el sustento.","kay tiempopi manaña qori maskhaypichu runakuna purinku chaypas, anchatan kallpachakunku familiankuta mantienenankupaq."
ganarse la vida en este mundo no es nada sencillo: exige mucho esfuerzo y suele resultar agotador.,kay tiempopi qolqe tariyqa sinchi sasan.
"es fácil llegar a preocuparse tanto por la comida, la ropa y la vivienda que uno acabe desatendiendo, o hasta olvidando, las cosas más importantes.","chaymi, mikhunamanta, p’achamanta, wasimantawan sinchita llakikuspa qonqapunku aswan chaniyoq kaqkunata."
jesús utilizó una parábola que describía a la perfección esta tendencia humana.,chaykunapi runakunaq afanakusqantan jesús huk rikch’anachiypi sut’incharan.
la encontramos en lucas doce: dieciséis veintiuno.,chaymi tarikun lucas chunka iskayniyuq: chunka suqtayug iskay chunka jukniyuq textopi.
relate brevemente la parábola de jesús que aparece en lucas doce: dieciséis veintiuno.,pisillapi willay lucas chunka iskayniyuq: chunka suqtayug iskay chunka jukniyuq textopi jesuspa rikch’anachiy ruwasqanmanta.
"antes de narrar esa parábola, jesús estaba hablando de la necesidad de evitar la codicia, tema que analizamos bastante a fondo en el artículo anterior.","manaraq chay rikch’anachiyta willashaspan jesusqa munapayaymanta cuidakunapaq rimasharan, chaytaqa ñawpaq estudiopin allinta t’aqwiranchisña."
"la parábola trata de un hombre rico que, al no sentirse satisfecho con sus graneros llenos de cosas buenas, decide demolerlos para edificar otros mayores que le permitan seguir acumulando bienes.",chay rikch’anachiypin huk qhapaq runa taqena wasinkuna hunt’a kasqanwan mana contentakuspa taqena wasinkunata thunispa aswan hatuchachaqkunata sayarichiran.
"cuando por fin cree que ha llegado el momento de descansar y disfrutar de la vida, dios le dice que va a morir y que todo lo que tiene almacenado pasará a otras manos.",qhapaq kayninkunawan samakuspa allin kawsananta yuyaykushaqtinmi ichaqa dios willaran wañupunanta qhapaq kayninkunapas hukpa kapunanta.
"jesús concluye diciendo: “así pasa con el hombre que atesora para sí, pero no es rico para con dios ”.","rikch’anachiymanta willayta tukushaspataq jesús kayta niran: “chhaynan payllapaq qhapaq kayta waqaychaqqa, diospa qhawarinanpaqmi ichaqa wakcha kashan ”, nispa."
un hombre que se ve ante un problema,huk runa sasachakuypi tarikun
¿cómo se podría describir al hombre de la parábola de jesús?,¿ima nisunmanmi rikch’anachiypi jesuspa rimasqan runamanta?
observamos que jesús comenzó la parábola con esta simple declaración: “el terreno de cierto hombre rico produjo bien ”.,"jesusmi chay rikch’anachiyta willaspa khaynata qallariran: “huk qhapaq runan chakranmanta askhallataña cosecharqan ”, nispa."
jesús no afirmó que el hombre hubiera adquirido sus riquezas con artimañas o ilegalmente.,"jesusqa manan chay runamanta niranchu, suwakuspan qhapaq kayta tariran nispa, nitaq millay runata hinachu rikuchiran."
"en otras palabras, no dijo que fuera una mala persona.",aswanmi rimasqanpi reparanchis chay runaqa anchata llank’aspa qhapaqman tukupusqanta.
"al contrario, parece ser que era un hombre muy trabajador, o, por lo menos, previsor, pues ahorraba para el futuro, tal vez pensando en el bienestar de su familia.",chay rikch’anachiypi runaqa yaqapaschá familianpa allin kananta munaspa hamuq tiempopaq qhapaq kayta waqaycharan.
"por tanto, a primera vista podría decirse que se trataba de alguien emprendedor, que se tomaba en serio sus obligaciones.","arí, qhawarinapaqqa imaymana ruwananta hunt’ananpaq allin llank’aq runan karan."
¿ante qué problema se vio el hombre de la parábola de jesús?,¿ima sasachakuypin tarikuran rikch’anachiypi runa?
"sea como fuere, lo que sí sabemos es que el hombre era rico, es decir, ya tenía muchas posesiones.",imaynaña kaqtinpas chay runaqa qhapaq runan karan.
"pero, según explica jesús, se vio ante un problema.",ichaqa jesuspa willasqan hina sasachakuypin tarikuran.
sus tierras produjeron mucho más de lo que él esperaba: mucho más de lo que necesitaba o de lo que podía almacenar.,"tarpusqanmi sinchi askhata rurusqa: sinchi askhallañan karan, chaymi taqena wasikunapas manaña ayparanchu."
¿qué debía hacer?,¿imatan ruwanan karan?
¿qué opciones se les presentan hoy día a muchos siervos de dios?,¿imakunatan munachinku kay tiempopi jehová diospa testigonkunaman?
"en la actualidad, muchos siervos de jehová se encaran a situaciones similares a la del hombre rico.",chay qhapaq runa hinan kay tiempopi diospa kamachinkunapas tarikunku.
"los cristianos verdaderos sean empleados o dueños de su propio negocio se esfuerzan por ser honrados, cumplidores y concienzudos en su trabajo.","cheqaq cristianokunaqa hukpaqña kikinkupaqña llank’anku chaypas, kallpachakunkun honrado kanankupaq, hunt’aq kanankupaq, allin llank’aq kanankupaqpas."
"debido a ello, por lo general les va bien y sobresalen en lo que hacen.",chhayna kasqankuraykun allin llank’anayoq kanku allinkamataq lloqsin ima ruwasqankupas.
"ahora bien, cuando se les ofrece un ascenso o se les presentan nuevas oportunidades de negocios, tienen que tomar una decisión.",ichaqa allintan qhawarikunanku aswan allin llank’anata munachiqtinku otaq aswan allin llank’ana kaqtinpas.
¿aprovecharán la situación para ganar más dinero?,¿llank’anankuchu chaykunapi aswan qolqeyoq kanankupaq?
en el campo escolar sucede algo parecido.,chhaynallataqmi yachay wasipi kaqkunapaqpas.
"dado que muchos jóvenes testigos de jehová son excelentes estudiantes, a veces les ofrecen becas u otro tipo de ayudas para que cursen estudios superiores en instituciones de renombre.",allin yachaq kasqankuraykun wayna sipas testigokunaman munachinku becakunata otaq huk yanapaykunatapas allin universidadkunapi estudianankupaq.
